10.6779;16.7227;58:6D:8F:02:B7:DC;68/;<hidden>
10.6779;16.7227;00:0F:61:54:5F:60;46/;lrz
10.6779;16.7227;00:0F:61:53:E6:B0;76/;lrz
10.6779;16.7227;00:0F:61:53:E6:B2;76/;eduroam
10.6779;16.7227;00:0F:61:53:E6:B3;76/;ap01-3b5
10.6779;16.7227;00:0F:61:53:E6:B4;76/;lsr
10.6779;16.7227;00:0F:61:53:E6:B5;76/;mwn-events
10.6779;16.7227;00:0F:61:54:5F:64;56/;ap02-2b5
10.6779;16.7227;00:03:52:5B:8C:A0;84/;lrz
10.6779;16.7227;00:03:52:5B:8C:A2;92/;eduroam
10.6779;16.7227;00:03:52:5B:8C:A4;88/;ap02-3b5
10.6779;16.7227;00:03:52:5B:8C:A5;88/;mwn-events
10.6779;16.7227;E8:39:35:F5:AC:F0;84/;lrz
10.6779;16.7227;E8:39:35:F5:AC:F2;76/;eduroam
10.6779;16.7227;E8:39:35:F5:AC:F4;76/;ap04-3b5
10.6779;16.7227;E8:39:35:F5:AC:F5;84/;mwn-events
10.6779;16.7227;9C:1C:12:C1:5A:C0;48/;apa01-4b5
10.6779;16.7227;9C:1C:12:C1:5A:C2;48/;eduroam
10.6779;16.7227;9C:1C:12:C1:5A:C3;48/;lrz
10.6779;16.7227;E8:39:35:F5:FC:74;58/;eduroam
10.5501;16.3074;58:6D:8F:02:B7:DC;68/;<hidden>
10.5501;16.3074;00:0F:61:54:5F:60;46/;lrz
10.5501;16.3074;00:0F:61:53:E6:B0;76/;lrz
10.5501;16.3074;00:0F:61:53:E6:B2;76/;eduroam
10.5501;16.3074;00:0F:61:53:E6:B3;76/;ap01-3b5
10.5501;16.3074;00:0F:61:53:E6:B4;76/;lsr
10.5501;16.3074;00:0F:61:53:E6:B5;76/;mwn-events
10.5501;16.3074;00:0F:61:54:5F:64;56/;ap02-2b5
10.5501;16.3074;00:03:52:5B:8C:A0;84/;lrz
10.5501;16.3074;00:03:52:5B:8C:A2;92/;eduroam
10.5501;16.3074;00:03:52:5B:8C:A4;88/;ap02-3b5
10.5501;16.3074;00:03:52:5B:8C:A5;88/;mwn-events
10.5501;16.3074;E8:39:35:F5:AC:F0;84/;lrz
10.5501;16.3074;E8:39:35:F5:AC:F2;76/;eduroam
10.5501;16.3074;E8:39:35:F5:AC:F4;76/;ap04-3b5
10.5501;16.3074;E8:39:35:F5:AC:F5;84/;mwn-events
10.5501;16.3074;9C:1C:12:C1:5A:C0;48/;apa01-4b5
